SEQ_NFE;CHAVE_NOTA;COD_UF_EMIT;COD_UF_DEST;TIP_FIN_NFE;SEQ_PROD;COD_CEST;COD_CST;COD_NCM;COD_CFOP;TIP_OPERACAO;EMIT_COD_CNAE;EMIT_CRT;EMIT_IND_SN;DEST_CNAE_PRINC;DEST_IE;DEST_SITUACAO;DEST_IND_SUBLIMITE;DEST_IND_SN;TIPO_IMPOSTO
437041131;41250632068205000103550010002970051660605520;PR;AL;1;2934535140;2806100;0;94036000;6107;;;3;N;;;;0;N;DIFAL
438731857;33250644808617000103550010002094961096859662;RJ;AL;1;2943164711;;0;90183219;6108;;;3;N;;;;0;N;DIFAL
437968767;31250629302500000160550010004588311065914710;MG;AL;1;2939089530;;0;63026000;6108;;;3;N;;;;0;N;DIFAL
437761406;35250651656322000124550040000983071701670482;SP;AL;1;2937929057;;0;82100090;6108;;;3;N;;;;0;N;DIFAL
438713377;35250627426431000170550030000671521354069559;SP;AL;1;2943100965;0201600;0;22083020;6108;;;3;N;;;;0;N;DIFAL
438582871;35250646031326000187550050000313591161623525;SP;AL;1;2942716344;;0;94051190;6108;;;3;N;;;;0;N;DIFAL
438644043;53250629925735000108550050000788641323338108;DF;AL;1;2942820687;1400100;0;70134100;6102;;;3;N;;;;0;N;DIFAL
438430904;35250633013770000128550020001666231760226900;SP;AL;1;2941864773;;0;61044900;6108;;;3;N;;;;0;N;DIFAL
438430904;35250633013770000128550020001666231760226900;SP;AL;1;2941864774;;0;61044900;6108;;;3;N;;;;0;N;DIFAL
439442839;31250646568443000184550010001446551631689858;MG;AL;1;2947344460;2806100;0;63049200;6107;;;3;N;;;;0;N;DIFAL
439976726;26250692660406000623550050009166021000043288;PE;AL;1;2950287286;2109300;0;84151011;6108;;;3;N;;;;0;N;DIFAL
439976726;26250692660406000623550050009166021000043288;PE;AL;1;2950287287;2109300;0;84151011;6108;;;3;N;;;;0;N;DIFAL
438845336;35250614196473000110550020003691651006286808;SP;AL;1;2943734722;2803900;0;63079090;6108;;;3;N;;;;0;N;DIFAL
438851735;35250660881299000910550020007039061966687337;SP;AL;1;2943774569;;0;33074900;6107;;;3;N;;;;0;N;DIFAL
