;SEQ_NFE;COD_UF_EMIT;TIP_FIN_NFE;ID_PROD;CEST_COMPLETO;COD_CST;NCM_COMPLETO;CFOP_COMPLETO;EMIT_CNAE_COMPLETO;EMIT_CRT;EMIT_IND_SN;DEST_CNAE_COMPLETO;DEST_SITUACAO;TIPO_IMPOSTO;DEST_IND_SN;DEST_POSSUI_IE;EMIT_CNAE_DIVISAO;EMIT_CNAE_GRUPO;EMIT_CNAE_CLASSE;DEST_CNAE_DIVISAO;DEST_CNAE_GRUPO;DEST_CNAE_CLASSE;NCM_CAPITULO;NCM_POSICAO;NCM_SUBPOSICAO;CFOP_NATUREZA;CFOP_OPERACAO;POSSUI_CEST;CEST_SEGMENTO;CEST_ITEM
7108;438299633;ES;1;2941087890;0;0;18063220;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;18;1806;180632;6;108;0;AUSENTE;AUSENTE
7109;438348857;SP;1;2941339902;0;0;85166000;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;85;8516;851660;6;102;0;AUSENTE;AUSENTE
7110;438310019;SP;1;2941143978;0;0;39241000;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;39;3924;392410;6;102;0;AUSENTE;AUSENTE
7111;437991381;SP;1;2939216945;0;0;61112000;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;61;6111;611120;6;108;0;AUSENTE;AUSENTE
7112;437382747;SP;1;2935928469;0;0;94018000;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;94;9401;940180;6;102;0;AUSENTE;AUSENTE
7113;437476092;SP;1;2936372951;2806000;0;57024900;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;57;5702;570249;6;108;1;28;28060
7114;438216855;SP;1;2940582544;0;0;21069030;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;21;2106;210690;6;108;0;AUSENTE;AUSENTE
7115;437854517;SP;1;2938576429;2806000;0;57024900;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;57;5702;570249;6;108;1;28;28060
7116;438286692;SP;1;2941026082;0;0;61082200;6102;AUSENTE;2;S;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;61;6108;610822;6;102;0;AUSENTE;AUSENTE
7117;438003038;SP;1;2939288695;0;0;44219900;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;44;4421;442199;6;108;0;AUSENTE;AUSENTE
7118;437519222;SC;1;2936584366;0;0;39222000;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;39;3922;392220;6;102;0;AUSENTE;AUSENTE
7119;438283292;SP;1;2941009231;0;0;63026000;6102;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;63;6302;630260;6;102;0;AUSENTE;AUSENTE
7120;437982898;SP;1;2939157134;0;0;85181090;6108;AUSENTE;3;N;AUSENTE;0;DIFAL;0;0;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;AUSENTE;85;8518;851810;6;108;0;AUSENTE;AUSENTE
